REGION;2010;2011;2012;2013;2014;2015;2016;2017;2018;
Белгородская область;96312,955;125993,549;136819,636;129405,174;120658,433;147214,395;143791,756;142692,754;134551,337;
Брянская область;41988,961;48013,846;46551,192;60864,184;66066,313;62254,883;68194,604;55120,865;58918,301;
Владимирская область;50087,537;59769,308;61012,506;65354,417;73927,362;71512,506;70716,655;78526,948;73502,023;
Воронежская область;125825,5;155244,862;182334,32;216983,045;240272,216;264659,809;270992,135;283652,262;276785,343;
Ивановская область;29960,839;32373,137;28761,531;33937,792;33075,481;25712,523;23286,965;30314,901;29359,835;
Калужская область;74489,289;77353,812;95969,9;98083,742;99785,835;92707,01;84444,604;89030,44;91138,164;
Костромская область;15100,409;17647,57;21169,495;22263,539;27511,644;27344,726;26429,603;21638,952;22313,48;
Курская область;46093,004;58520,541;66639,197;71545,721;73695,238;73744,656;93658,527;100895,137;120735,232;
Липецкая область;101599,81;112530,817;93327,12;101093,474;105587,689;116133,511;127890,871;142407,098;128532,7;
Московская область;394284,2;449665,633;516871,679;587645,042;644830,493;623917,803;621176,101;699918,477;945424,1;
Орловская область;21450,9;34072,376;40429,014;43740,836;47579,958;47980,617;43595,612;43669,64;48058,416;
Рязанская область;40621,93;53163,001;66705,021;75530,543;60558,136;54190,332;50892,658;62286,241;62741,419;
Смоленская область;48833,226;56872,246;56434,833;55930,577;56587,489;55042,626;58728,152;57495,579;70900,487;
Тамбовская область;53980,2;68302,085;82920,578;98226,84;110597,134;117641,283;105033,385;111073,129;106230,33;
Тверская область;82617,825;94276,334;80463,668;80536,435;84039,036;73462,14;93427,292;100743,864;104501,124;
Тульская область;71526,459;77702,922;84058,617;91046,064;95234,675;105628,84;112560,598;128563,554;154752,34;
Ярославская область;72290,509;80386,006;81018,7;86347,98;88540,503;75437,365;88363,236;85781,603;84397,333;
г.Москва;732760,604;856424,079;1220096,592;1413093,702;1541884,366;1543600,954;1712239,426;2007707,66;2485175,744;
Республика Карелия;22798,194;29641,011;33947,25;34204,232;33399,515;32737,567;34700,035;41567,781;48116,368;
Республика Коми;112313,499;202526,069;232221,821;199156,984;201032,256;169936,079;200261,007;134151,8;136473,712;
Архангельская область;99686,026;134721,79;162514,125;157276,128;157720,029;172221,34;169432,082;215493,328;198357,36;
Вологодская область;68569,475;114958,449;151022,723;75421,104;79731,517;87113,515;114155,392;138282,002;153427,919;
Калининградская область;55877,1;63171,007;71757,086;68701,571;63715,957;69014,961;89462,277;130397,779;159880,365;
Ленинградская область;278863,856;305699,041;330721,029;253618,5;170501,622;225915,252;264212,803;337673,819;511164,195;
Мурманская область;38610,623;55969,711;72449,417;70579,271;85845,0897;100418,31;85494,614;113269,333;155744,198;
Новгородская область;39454,236;38031,287;44999,921;53063,338;61369,026;69335,982;78742,092;70831,646;61529,68;
Псковская область;16695,419;24882,214;33663,697;28952,654;29807,554;27362,958;27271,783;29266,913;31297,083;
г.Санкт-Петербург;401536,686;360367,619;352116,107;475148,997;523330,954;483422,84;678642,235;672365,243;852922,87;
Ненецкий АО;42565,12;44247,534;59023,56;61411,985;78951,608;114503,422;85702,622;106578,202;91041,172;
Республика Дагестан;120653,446;137114,255;152733,283;179065,237;202245,152;197571,591;199555,683;187346,635;200007,493;
Республика Ингушетия;7452,392;6100,418;14777,316;19154,532;16199,09;19758,975;20631,805;21197,713;22358,957;
Кабардино-Балкарская Республика;20958,245;20855,492;25652,241;22070,709;22147,554;28327,998;36235,378;34827,087;35471,724;
Карачаево-Черкесская Республика;9140,007;13610,426;18076,206;21553,577;22184,162;19647,62;20554,804;21032,291;22686,265;
Республика Северная Осетия-Алания;16203,872;19926,601;21851,073;28808,049;31000,858;25456,909;25533,112;27238,706;31434,687;
Чеченская Республика;50369,393;51631,669;54400,333;44622,826;57448,229;58844,024;60542,672;64387,154;74367,802;
Ставропольский край;88634,984;98264,722;115318,298;130631,566;143061,16;126250,337;122948,795;140061,938;158229,87;
Республика Адыгея;14035,843;18703,329;16903,544;18622,228;17154,751;15755,904;19133,654;20844,685;30600,14;
Республика Калмыкия;6970,467;9779,054;13825,277;15282,516;22609,218;16605,444;9138,881;11222,941;12422,681;
Краснодарский край;589623;711720,356;798475,602;955208,057;750235,933;586902,73;435095,343;503243,028;515316,773;
Астраханская область;59862,957;69023,678;81664,699;122618,396;116856,125;113168,76;117999,297;146659,96;110279,5;
Волгоградская область;78430,874;104080,216;136153,825;140680,138;182797,885;200190,6677;183642,143;191709,722;183096,526;
Ростовская область;159038,4;165977,662;207934,605;253622,516;264172,803;309436,151;294480,684;323903,243;264870,553;
Республика Башкортостан;153625;188506,455;233683,163;266395,944;283544,955;317764,293;355109,264;278591,607;267929,064;
Республика Марий Эл;22304,177;26860,783;31656,476;46177,947;47228,018;40331,689;27265,485;24029,203;27321,044;
Республика Мордовия;40778,196;48672,906;49824,717;53713,726;47484,621;52750,737;52629,216;58535,192;52309,46;
Республика Татарстан;328943,889;393568,509;470751,456;525730,446;542781,13;617128,115;636494,114;637611,686;629731,027;
Удмуртская Республика;51148,111;62311,04;64220,773;82678,484;91571,158;81846,417;87128,696;83705,585;96978,855;
Чувашская Республика;42611,603;55924,62;65254,602;60121,546;53457,294;55725,346;50139,921;52365,463;56433,748;
Кировская область;34553,459;40184,667;50544,976;58655,055;61447,798;55759,53;57001,131;57860,714;59508,269;
Нижегородская область;192072,379;224350,193;257454,147;280884,135;276819,858;235066,687;232010,366;245268,036;259392,868;
Оренбургская область;103648,18;116657,671;151250,162;152876,949;153978,898;169243,338;167278,542;184877,171;208105,119;
Пензенская область;45677,862;57495,336;72342,94;82164,272;82079,484;89042,065;64945,495;72050,12;87106,024;
Пермский край;139652,233;144781,479;162241,009;219493,881;207597,148;226213,577;239389,883;245139,59;243613,003;
Самарская область;154422,8;182575,269;213021,847;269736,529;321759,505;302884,212;256775,988;259544,251;264988,744;
Саратовская область;80040,79;101406,165;117645,774;125833,739;137421,292;140128,718;141337,313;145163,596;154864,095;
Ульяновская область;47993,396;59225,557;72984,606;76835,477;77178,184;79461,37;70575,622;84093,664;82923,673;
Курганская область;25572,918;29862,066;36212,599;33207,027;32762,339;27842,274;29253,811;22851,232;27150,695;
Свердловская область;264461,6;333451,395;351637,262;352916,374;371630,896;349964,064;328402,53;320111,121;378662,02;
Тюменская область (без Ханты-Мансийского авт.округа-Югра и Ямало-Ненецкого авт.округа);;;;244667,773;248190,685;217380,863;239758,713;301333,992;353633,284;
Челябинская область;151121,473;176597,617;192816,356;214963,69;227860,556;217238,089;198289,18;198990,817;254993,174;
Ханты-Мансийский автономный округ-Югра;507172,078;636975,753;671089,408;718871,448;733866,879;766070,456;799253,271;920187,412;930721,09;
Ямало-Ненецкий автономный округ;387695,602;477144,557;581009,671;603194,354;754186,552;779405,509;1093081,787;1069619,542;1021502,317;
Республика Алтай;9522,118;14589,769;10741,765;11852,55;13893,321;12184,792;12561,318;12450,238;14783,442;
Республика Бурятия;33568,677;40743,188;41184,487;41986,096;36739,732;36220,356;33445,203;42213,791;48526,943;
Республика Тыва;7235,642;8119;11677,543;13939,462;17794,65;12943,823;10640,126;9988,391;13092,116;
Республика Хакасия;22109,124;35183,951;38130,637;32115,882;39585,28;29939,69;27237,011;23842,668;34275,385;
Алтайский край;54579,691;70307,607;83853,213;94586,239;99680,489;78538,073;75284,822;87844,002;107151,407;
Красноярский край;266909,663;308588,16;381657,432;376903,471;363955,689;396864,928;425931,641;420886,412;421779,977;
Иркутская область;119394,929;145537,027;177641,435;200063,404;214421,862;206074,682;247954,167;270018,604;318786,947;
Кемеровская область;156518,5;214780,427;267811,533;217711,071;230950,89;170470,45;165665,641;215236,651;248665,342;
Новосибирская область;115014,7;140096,964;162170,037;183997,896;193170,657;164439,629;163058,53;175608,676;197113,609;
Омская область;73196,057;88787,509;108705,871;105637,804;95360,432;94220,264;93453,298;98658,725;121385,016;
Томская область;77598,148;100897,121;108304,44;102732,493;109356,52;104952,646;104385,424;98465,743;96223,045;
Забайкальский край;44824,818;51656,364;67595,801;57460,954;69504,944;76281,788;85702,385;96324,45;90011,519;
Республика Саха (Якутия);130492,937;190409,129;205205,547;193947,078;181171,566;198032,255;275576,034;386790,021;403573,701;
Приморский край;208208,643;307617,651;203189,212;123061,239;134301,001;139207,732;130499,663;130934,549;144523,259;
Хабаровский край;156438,767;180507,902;179907,237;150077,527;128691,976;114008,054;120091,096;121185,003;143705,967;
Амурская область;83892,131;118296,548;113083,864;102003,486;76375,699;102213,985;129816,094;192469,379;251184,448;
Камчатский край;32615,204;33860,498;36138,23;32708,185;25128,127;22849,816;37298,185;39007,074;40301,326;
Магаданская область;16808,723;19060,984;27571,077;37878,968;40721,617;60666,334;41798,186;43891,734;57640,056;
Сахалинская область;135013,618;176020,637;164027,844;175632,362;205489,394;241463,508;240010,758;211815,111;229594,794;
Еврейская автономная область;18810,698;25429,641;24946,157;14326,776;10288,017;12012,467;12929,386;11041,948;17153,738;
Чукотский автономный округ;5418,724;9301,517;17283,797;12804,207;8386,266;14633,12;12756,589;12500,111;17381,181;
